"Abbas, Safia","Sawamura, Hajime",,,,,,,,
"Ben-Naim, Dror","Bain, Michael","Marcus, Nadine",,,,,,,
"Bengs, Daniel","Brefeld, Ulf",,,,,,,,
"Bergner, Yoav","Dröschler, Stefan","Kortemeyer, Gerd","Rayyan, Saif","Seaton, Daniel T.","Pritchard, David E.",,,,
"Bergner, Yoav","Kerr, Deirdre","Pritchard, David E.",,,,,,,
"Bergner, Yoav","Shu, Zhan","Von Davier, Alina A.",,,,,,,
"Berk, James A.","Powell, Jay C.",,,,,,,,
"Bhartiya, Divyanshu","Biswan, Sovan","Mohania, Mukesh","Sengupta, Bikram",,,,,,
"Bhat, Suma","Perry, Michelle","Chinprutthiwong, Phakpoom",,,,,,,
"Bhatnagar, Sameer","Desmarais, Michel C.","Lasry, Nathaniel","Charles, Elizabeth S.",,,,,,
"Bhatnagar, Sameer","Desmarais, Michel C.","Whittaker, Chris","Lasry, Nathaniel","Dugdale, Michael","Charles, Elizabeth S.",,,,
"Bian, Haiyun",,,,,,,,,
"Blanchard, Nathaniel","D'Mello, Sidney K. D.","Olney, Andrew M.","Nystrand, Martin",,,,,,
"Blanchard, Nathaniel","Donnelly, Patrick J.","Olney, Andrew M.","Samei, Borhan","Ward, Brooke","Sun, Xiaoyi","Kelly, Sean","Nystrand, Martin","D'Mello, Sidney K. D.",
"Bogarín, Alejandro","Cerezo, Rebeca","Romero, Cristóbal",,,,,,,
"Borge, Marcela","Rosé, Carolyn P.",,,,,,,,
"Boroujeni, Mina Shirvani","Kidziński, Łukasz","Dillenbourg, Pierre",,,,,,,
"Bose, R. P. Jagadeesh Chandra","Deshmukh, Om","Ravindra, Bhavanam",,,,,,,
"Botelho, Anthony F.","Adjei, Seth A.","Heffernan, Neil T.",,,,,,,
"Botelho, Anthony F.","Adjei, Seth A.","Heffernan, Neil T.","Wan, Hao",,,,,,
"Boubekki, Ahcène","Brefeld, Ulf","Delacroix, Thomas",,,,,,,
"Boubekki, Ahcène","Kröhne, Ulf","Goldhammer, Frank","Schreiber, Waltraud","Brefeld, Ulf",,,,,
"Bouchet, François","Azevedo, Roger","Kinnebrew, John S.","Biswas, Gautam",,,,,,
"Bousbia, Nabila","Balla, Amar","Labat, Jean-Marc","Issam, Rebai",,,,,,
"Boutnaru, Shlomi","Hershkovitz, Arnon",,,,,,,,
"Bovo, Angela","Sanchez, Stéphane","Duthen, Yves","Héguy, Olivier",,,,,,
"Bovo, Angela","Sanchez, Stephane","Heiguy, Olivier","Duthen, Yves",,,,,,
"Boyer, Kristy Elizabeth","Phillips, Robert","Ha, Eun Young","Wallis, Michael D.","Vouk, Mladen A.","Lester, James C.",,,,
"Boyer, Sebastien","Veeramachaneni, Kalyan",,,,,,,,
"Bravo, Javier","Romero, Sonia Janeth","Luna, José María","Pamplona, Sonia",,,,,,
"Brawner, Keith",,,,,,,,,
"Brown, Rebecca","Lynch, Collin F.","Eagle, Michael","Albert, Jennifer","Barnes, Tiffany","Baker, Ryan S.J.d.","McNamara, Danielle S.","Bergner, Yoav",,
"Brunskill, Emma",,,,,,,,,
"Brunskill, Emma","Russell, Stuart",,,,,,,,
"Buffum, Philip","Frankosky, Megan","Boyer, Kristy Elizabeth","Wiebe, Eric","Mott, Bradford","Lester, James",,,,
"Bumbacher, Engin","Salehi, Shima","Wierzchula, Miriam","Blikstein, Paulo",,,,,,
"Bydžovská, Hana",,,,,,,,,
"Bydžovská, Hana",,,,,,,,,
"Bydžovská, Hana",,,,,,,,,
"Cade, Whitney L.","Olney, Andrew M.",,,,,,,,
"Cade, Whitney","Dowell, Nia","Graesser, Arthur C.","Pennebaker, James","Tausczik, Yla",,,,,
"Cai, Zhiqiang","Li, Haiying","Graesser, Arthur C.","Hu, Xiangen",,,,,,
"Calvo, Rafael A.","Kim, Sunghwan Mac",,,,,,,,
"Cambranes-Martinez, Edgar","Good, Judith",,,,,,,,
"Campagni, Renza","Merlini, Donatella","Sprugnoli, Renzo",,,,,,,
"Carballo, Fábio","Antunes, Cláudia",,,,,,,,
"Carlson, Ryan","Genin, Konstantin","Rau, Martina A.","Scheines, Richard",,,,,,
"Cerezo, Rebeca","Paule, M. Puerto","Sanchez-Santillan, Miguel","Nuñez, Jose C.",,,,,,
"Cetintas, Suleyman","Si, Luo","Xin, Yan Ping","Hord, Casey",,,,,,
"Champaign, John","Cohen, Robin",,,,,,,,
"Champaign, John","Cohen, Robin",,,,,,,,
"Chandrasekaran, Muthu Kumar","Kan, Min-Yen","Tan, Bernard C. Y.","Ragupathi, Kiruthika",,,,,,
"Chang, Haw-Shiuan","Hsu, Hwai-Jung","Chen, Kuan-Ta",,,,,,,
"Chaplot, Devendra Singh","Rhim, Eunhee","Kim, Jihie",,,,,,,
"Chaturvedi, Ritu","Ezeife, Christie",,,,,,,,
"Chaturvedi, Ritu","Ezeife, Christie",,,,,,,,
"Chen, Lujie","Dubrawski, Artur","Li, Xin","Xia, Zhuyun","Song, Zhanmei","Morency, Louis-Philippe",,,,
"Chen, Yang","Wuillemin, Pierre-Henri","Labat, Jean-Marc",,,,,,,
"Chen, Yetian","González-Brenes, José P.","Tian, Jin",,,,,,,
"Chen, Yuxuan","Bosch, Nigel","D'Mello, Sidney K. D.",,,,,,,
"Chen, Zhongzhou","Demirci, Neset","Pritchard, David",,,,,,,
"Chi, Min","Jordan, Pamela W.","VanLehn, Kurt","Hall, Moses",,,,,,
"Chi, Min","Koedinger, Kenneth R.","Gordon, Geoffrey J.","Jordan, Pamela W.","VanLehn, Kurt",,,,,
"Chi, Min","Schwartz, Daniel L.","Blair, Kristen Pilner","Chin, Doris B.",,,,,,
"Chi, Min","Shen, Shitian",,,,,,,,
"Chiritoiu, Marius Stefan","Mihaescu, Marian Cristian","Burdescu, Dumitru Dan",,,,,,,
"Cho, Kwangsu",,,,,,,,,
"Choi, Hongkyu","Lee, Ji Eun","Hong, Won-Joon","Lee, Kyumin","Recker, Mimi M.","Walker, Andy",,,,
"Choi, Yunyoung","Rupp, Andre A.","Sweet, Shauna J.",,,,,,,
"Cisel, Matthieu","Bachelet, Rémi","Bruillard, Eric",,,,,,,
"Clement, Benjamin","Oudeyer, Pierre-Yves","Lopes, Manuel",,,,,,,
"Clement, Benjamin","Roy, Didier","Oudeyer, Pierre-Yves","Lopes, Manuel",,,,,,
"Cobo, Germán","García-Solórzano, David","Santamaría, Eugènia","Morán, Jose Antonio","Melenchón, Javier","Monzo, Carlos",,,,
"Colvin, Kimberly F.","Champaign, John","Fredericks, Colin","Pritchard, David E.","Liu, Alwina",,,,,
"Córdova Sánchez, Mariheida","Si, Luo","Fish, Jason","Raman, Parameswaran",,,,,,
"Craig, Scotty D.","Huang, Xudong","Xie, Jun","Fang, Ying","Hu, Xiangen",,,,,
"Crespo, Pedro","Antunes, Cláudia",,,,,,,,
"Cristian, Marian","Popescu, Paul Stefan","Iona, Costel",,,,,,,
"Crossley, Scott A.","Defore, Caleb","Kyle, Kristopher","Dai, Jianmin","McNamara, Danielle S.",,,,,
"Crossley, Scott A.","Kyle, Kristopher","Allen, Laura K.","McNamara, Danielle S.",,,,,,
"Crossley, Scott A.","Kyle, Kristopher","Davenport, Jodi","Mcnamara, Danielle S.",,,,,,
"Crossley, Scott A.","McNamara, Danielle S.","Baker, Ryan S.J.d.","Wang, Yuan","Paquette, Luc","Barnes, Tiffany","Bergner, Yoav",,,
"Cunningham, Jim",,,,,,,,,
"Cutumisu, Maria","Schwartz, Daniel L.",,,,,,,,
"D'Inverno, Mark","Al-Rifaie, Mohammad Majid","Yee-King, Matthew",,,,,,,
"D'Mello, Sidney K. D.","Cobian, Jonathan","Hunter, Matthew",,,,,,,
"D'Mello, Sidney K. D.","Graesser, Arthur C.",,,,,,,,
"Dai, Yiling","Asano, Yasuhito","Yoshikawa, Masatoshi",,,,,,,
"Davenport, Jodi","Stamper, John C.","Liu, Ran",,,,,,,
"Davis, Dan","Chen, Guanliang","Hauff, Claudia","Houben, Geert-Jan",,,,,,
"Davoodi, Alireza","Conati, Cristina",,,,,,,,
"Davoodi, Alireza","Kardan, Samad","Conati, Cristina",,,,,,,
"De Alfaro, Luca","Shavlovsky, Michael",,,,,,,,
"de Mello Neto, Wolney","Garcia, Felipe","Carvalho, Pedro","Barbosa, Eduardo","Wernerck, Nicolau","Carvalho, Leonardo",,,,
"De Molina, María","Luna, José María","Romero, Cristóbal","Ventura, Sebastián",,,,,,
"Deboer, Jennifer","Stump, Glenda S.","Pritchard, David E.","Seaton, Daniel","Breslow, Lori",,,,,
"Dekker, Gerben","Pechenizkiy, Mykola","Vleeshouwers, Jan",,,,,,,
"Desmarais, Michel C.",,,,,,,,,
"Desmarais, Michel C.","Beheshti, Behzad","Xu, Peng",,,,,,,
"Desmarais, Michel C.","Lemieux, Francois",,,,,,,,
"Desmarais, Michel C.","Pelczer, Ildiko",,,,,,,,
"Desmarais, Michel C.","Villarreal, Alejandro","Gagnon, Michel",,,,,,,
"Desmarais, Michel C.","Xu, Peng",,,,,,,,
"Desmarais, Michel C.","Xu, Peng","Beheshti, Behzad",,,,,,,
"Deziel, Melissa","Olawo, Dayo","Truchon, Lisa","Golab, Lukasz",,,,,,
"Diana, Nicholas","Eagle, Michael","Stamper, John","Koedinger, Kenneth R.",,,,,,
"DiCerbo, Kristen E.","Kidwai, Khusro",,,,,,,,
"Dillon, John","Bosch, Nigel","Ambrose, G. Alex","D'Mello, Sidney K. D.","Chetlur, Malolan","Wanigasekara, Nirandika","Sengupta, Bikram",,,
"Dobashi, Konomu",,,,,,,,,
"Dolan, Bob","Behrens, John",,,,,,,,
"Dominguez, Anna Katrina","Yacef, Kalina","Curran, James R.",,,,,,,
"Dominguez, Michelle M.","Bernacki, Matthew L.","Uesbeck, P. Merlin",,,,,,,
"Dong, Yi","Kinnebrew, John S.","Biswas, Gautam",,,,,,,
"Dong, Yihuan","Price, Thomas W.","Barnes, Tiffany",,,,,,,
"Doroudi, Shayan","Holstein, Kenneth","Aleven, Vincent","Brunskill, Emma",,,,,,
"Doroudi, Shayan","Holstein, Kenneth","Aleven, Vincent","Brunskill, Emma",,,,,,
